date, pm25, pm10, no2, latitude, longitude
30/05/2020,11,8,4,59.33716532,18.03549986
31/05/2020,6,16,9,59.33716532,18.03549986
01/06/2020,12,15,4,59.33716532,18.03549986
02/06/2020,15,14,4,59.33716532,18.03549986
03/06/2020,17,17,5,59.33716532,18.03549986
04/06/2020,28,14,4,59.33716532,18.03549986
05/06/2020,31,6,3,59.33716532,18.03549986
06/06/2020,16,7,3,59.33716532,18.03549986
07/06/2020,12,13,9,59.33716532,18.03549986
08/06/2020,19,13,8,59.33716532,18.03549986
09/06/2020,19,8,6,59.33716532,18.03549986
10/06/2020,9,9,5,59.33716532,18.03549986
11/06/2020,9,10,4,59.33716532,18.03549986
12/06/2020,18,9,3,59.33716532,18.03549986
13/06/2020,15,8,4,59.33716532,18.03549986
14/06/2020,14,13,8,59.33716532,18.03549986
15/06/2020,18,11,9,59.33716532,18.03549986
16/06/2020,25,13,9,59.33716532,18.03549986
17/06/2020,30,15,9,59.33716532,18.03549986
18/06/2020,32,13,5,59.33716532,18.03549986
19/06/2020,32,15,2,59.33716532,18.03549986
20/06/2020,43, , ,59.33716532,18.03549986
22/06/2020,19,13,9,59.33716532,18.03549986
23/06/2020,21,17,10,59.33716532,18.03549986
24/06/2020,28,20,10,59.33716532,18.03549986
25/06/2020,30,15,8,59.33716532,18.03549986
26/06/2020,26,17,4,59.33716532,18.03549986
27/06/2020,34,17,3,59.33716532,18.03549986
28/06/2020,38,18,7,59.33716532,18.03549986
29/06/2020,31,13,8,59.33716532,18.03549986
30/06/2020,20,8,7,59.33716532,18.03549986
01/01/2020,22,11,4,59.33716532,18.03549986
02/01/2020,33,14,5,59.33716532,18.03549986
03/01/2020,19,19,6,59.33716532,18.03549986
04/01/2020,16,16,7,59.33716532,18.03549986
05/01/2020,17,4,6,59.33716532,18.03549986
06/01/2020,12,8,9,59.33716532,18.03549986
07/01/2020,23,17,6,59.33716532,18.03549986
08/01/2020,22,12,17,59.33716532,18.03549986
09/01/2020,26,13,20,59.33716532,18.03549986
10/01/2020,31,12,9,59.33716532,18.03549986
11/01/2020,27,6,5,59.33716532,18.03549986
12/01/2020,11,6,10,59.33716532,18.03549986
13/01/2020,16,9,6,59.33716532,18.03549986
14/01/2020,25,11,7,59.33716532,18.03549986
15/01/2020,15,23,9,59.33716532,18.03549986
16/01/2020,26,14,10,59.33716532,18.03549986
17/01/2020,39,18,8,59.33716532,18.03549986
18/01/2020,50,28,10,59.33716532,18.03549986
19/01/2020,22,11,7,59.33716532,18.03549986
20/01/2020,15,35,17,59.33716532,18.03549986
21/01/2020,23,48,16,59.33716532,18.03549986
22/01/2020,28,25,15,59.33716532,18.03549986
23/01/2020,24,5,14,59.33716532,18.03549986
24/01/2020,12,31,13,59.33716532,18.03549986
25/01/2020,27,6,7,59.33716532,18.03549986
26/01/2020,14,13,10,59.33716532,18.03549986
27/01/2020,35,11,7,59.33716532,18.03549986
28/01/2020,36,6,10,59.33716532,18.03549986
